Owner,Repository,Mwe2 Existence,Found Extensions
waynepiekarski,XTextureExtractor,NO,
TypeFox,theia-xtext-sprotty-example,YES,sm
altran-mde,xtext-sirius-integration,YES,"classes,ekeylang,html,inlineClasses,reflang,reflang_edit,statemachine,statemachineInlineedit"
graph-quilt,graphql-xtext,YES,graphql
TypeFox,vscode-xtext-sprotty-example,YES,sm
eclipse,xtext-website,NO,
intuit,common-xtext-expression-language,YES,expr
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,YES,"entities,expressions,greetings,helloidea,hellomaven,helloweb,library,school,smalljava,xentities,xexpressions"
resloved,xtext,YES,ddd
lurenzhangdeshuai,EmojiText-XText,NO,
kuniss,xtext-ide-extensions,YES,xtext
graph-quilt,xtext-service-dsl,YES,service
btc-ag,service-idl,YES,idl
eventB-Soton,XUML_B,YES,umlbx
Minres,CoreDSL,YES,core_desc
TypeFox,xtext2langium,NO,
v-bashev,post_core,YES,post
NielsLiisberg,RPG-lexer,YES,rpgle
OpenSextant,XText,YES,ddd
laubfall,jugh-xtext-arkanoid,YES,ark
khabdrick,LambdaXtextract,NO,
bsati,mgpl-xtext,YES,mgpl
UnBCIC-TP2,Oberon-XText,YES,oberon
TopXDevTeam,TopXTextUI,NO,
ngreve,xtext_web,YES,lpdsl
nmaoez,composer-language-server,YES,expression
FAMILIAR-project,xtext-dsl-compiler-example,YES,mydsl1
eventB-Soton,XTheory,YES,thy
program-in-chinese,xtext_tutorial_15_min_zh,YES,"mydsl,quan6"
code-kontor,openCypher-Xtext,YES,cypher
eclipse,epsilon,YES,"dmodel,evldsl"
UnBCIC-TP2,Oberon-IDE,YES,oberon
idiomaticsoft,xtext-tips,YES,"block,hello,hellogen,hex"
atb,pt.isep.dsl.puml,YES,puml
Webastronaut,mgpl,YES,mgpl
PAMunb,MetaCrySL,YES,crysl
raghvendra-v,tosca-yaml-lsp,YES,"yaml,yml"
zxhr,gradle-xtext-generator,NO,
tmtron,ex.xtext.lsp,YES,exdsl
echebbi,standalone-xtext-example,YES,mydsl
darvasd,xtext-docs-gen,YES,domain
jcabot,WordPress-Plugin-DSL,YES,wpdsl
JensBAndersen,PolicyLanguage,NO,
Zannith,XtextTest,NO,
AnnaLenaMeiners,XtextExamples,YES,"expressions,smalljava"
Kerolos77,XTextEditor,NO,
Mabar16,xtextMath,NO,
holgerschill,xtextCodebuff,NO,
devzwy,XTextView,NO,
mraminella,XtextExamples,YES,"expressions,smalljava"
msntts,XtextStudy,YES,mydsl
chiachong,XTextClassification,NO,
vinisbranco,XtextGerador,NO,
pakhopav,XtextPlugin,NO,
IamRaziel,XtextTutorial,YES,dmodel
dstoft,XtextWorkspace,YES,"mathint,tut1"
MisbahAwan,XtextCollaborativeEnvironment,YES,pkgdsl
pakhopav,XtextLanguage,NO,
fonuhuolian,XTextView,NO,
RomainLefeuvre,xtextHW,YES,"mydsl,mydsl1"
BestCoderXQX,XTextFlagDemo,NO,
vinisbranco,XtextTrabalho2,YES,dmodel
loicperreal,Xtext,YES,ddd
goflyboy,xtextsample,NO,
SharkJ,XtextInheritanceTest,YES,"dsl,dsl2"
hewenyuAndroid,XTextView-Android,NO,
OLibutzki,XtextExtras446,YES,xe446
vinisbranco,XtextJavaScript,NO,
AndreasGroentved,XtextDSL2018,YES,wpage
robertchristen,XTextCategorizer.Demo,NO,
alvarofpp,tutorial-xtext,YES,dmodel
pakhopav,XtextLanguageGradle,NO,
pakhopav,xtext,YES,ddd
adamhorvath88,Xtext,YES,ddd
0xMYsteRy,Xtext,YES,ddd
taylorlohan,XtextHealth2.0,NO,
Caroline66666,xtext,YES,ddd
xuxiaowen87,XText,YES,ddd
MisbahAwan,xtext,YES,ddd
ichxorya,failed-xtext2vscode-example,YES,block
hwong23,dsl.evtool,YES,evtool
RobMoloney,xtext,YES,ddd
l1ppe,xtext,YES,ddd
madhouni,wps-ecore-ocl-xtext,NO,
MISO4202,uniandes.mdd.xtext2xmi,NO,
tchebs,xtext,YES,ddd
mlopez8621,xtext,YES,ddd
magick93,xtext,YES,ddd
ShivaniBali,Theia-Xtext-Yangster-Project-,YES,dsl
ehah,XtendExample,NO,
MISO4202,co.edu.uniandes.gramaticajmeter,YES,csv
vks2106,prenum,NO,
drkstr101,hello-xtext,YES,"natural,words"
arthurmosley,Essex-Test,NO,
eclipse,xtext-website-publish,NO,
jflopezfernandez,xtextutils,NO,
AlanQuadros,xtextlpmangan,YES,tsc
jonaslagoni,JSON-Schema-to-internal-DSL,YES,json
OezzyB,e-portfolio-Xtext,YES,methods
fedorov-vk,apds_dsl,YES,"prot,subj"
zinon,xtextminer,NO,
